,Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt,TotYds,TotTD,TotY/G,MVP
732,733,Tyrone Wheatley\WheaTy00,1999,27,1-17,OAK,NFL,16,9.0,242,936,3.87,8,58.5,38.0,21,196,9.33,3,12.3,55.3%,5.16,1132,11,70.8,0
733,734,Jordan Howard\HowaJo00,2018,24,5-150,CHI,NFL,16,15.0,250,935,3.74,9,58.4,26.0,20,145,7.25,0,9.1,76.9%,5.58,1080,9,67.5,0
734,735,Fred Jackson\JackFr02,2011,30,,BUF,NFL,10,10.0,170,934,5.49,6,93.4,50.0,39,442,11.33,0,44.2,78.0%,8.84,1376,6,137.60000000000002,0
735,736,C.J. Spiller\SpilC.00,2013,26,1-9,BUF,NFL,15,10.0,202,933,4.62,2,62.2,41.0,33,185,5.61,0,12.3,80.5%,4.51,1118,2,74.5,0
736,737,Marion Barber\BarbMa01,2009,26,4-109,DAL,NFL,15,15.0,214,932,4.36,7,62.1,36.0,26,221,8.5,0,14.7,72.2%,6.14,1153,7,76.8,0
737,738,James Brooks\BrooJa00,1988,30,1-24,CIN,NFL,15,15.0,182,931,5.12,8,62.1,,29,287,9.9,6,19.1,,,1218,14,81.2,0
738,739,Johnny Johnson\JohnJo00,1994,26,7-169,NYJ,NFL,16,14.0,240,931,3.88,3,58.2,57.0,42,303,7.21,2,18.9,73.7%,5.32,1234,5,77.1,0
739,740,Sony Michel\MichSo00,2018,23,1-31,NWE,NFL,13,8.0,209,931,4.45,6,71.6,11.0,7,50,7.14,0,3.8,63.6%,4.55,981,6,75.39999999999999,0
740,741,James Stewart\StewJa00,1999,28,1-19,JAX,NFL,14,7.0,249,931,3.74,13,66.5,24.0,21,108,5.14,0,7.7,87.5%,4.5,1039,13,74.2,0
741,742,Delvin Williams\WillDe01,1977,26,2-49,SFO,NFL,14,14.0,268,931,3.47,7,66.5,,20,179,8.95,2,12.8,,,1110,9,79.3,0
742,743,Robert Newhouse\NewhRo00,1975,25,2-35,DAL,NFL,14,13.0,209,930,4.45,2,66.4,,34,275,8.09,0,19.6,,,1205,2,86.0,0
743,744,James Brooks\BrooJa00,1985,27,1-24,CIN,NFL,16,16.0,192,929,4.84,7,58.1,,55,576,10.47,5,36.0,,,1505,12,94.1,0
744,745,Matt Forte\FortMa00,2009,24,2-44,CHI,NFL,16,16.0,258,929,3.6,4,58.1,72.0,57,471,8.26,0,29.4,79.2%,6.54,1400,4,87.5,0
745,746,Rashard Mendenhall\MendRa00,2011,24,1-23,PIT,NFL,15,15.0,228,928,4.07,9,61.9,28.0,18,154,8.56,0,10.3,64.3%,5.5,1082,9,72.2,0
746,747,Alex Webster\WebsAl00,1961,30,11-123,NYG,NFL,14,14.0,196,928,4.73,2,66.3,,26,313,12.04,3,22.4,,,1241,5,88.69999999999999,0
747,748,Warrick Dunn\DunnWa00,2002,27,1-12,ATL,NFL,15,14.0,230,927,4.03,7,61.8,66.0,50,377,7.54,2,25.1,75.8%,5.71,1304,9,86.9,0
748,749,Fred Jackson\JackFr02,2010,29,,BUF,NFL,16,13.0,222,927,4.18,5,57.9,54.0,31,215,6.94,2,13.4,57.4%,3.98,1142,7,71.3,0
749,750,Johnny Johnson\JohnJo00,1990,22,7-169,PHO,NFL,14,14.0,234,926,3.96,5,66.1,,25,241,9.64,0,17.2,,,1167,5,83.3,0
750,751,Michael Pittman\PittMi00,2004,29,4-95,TAM,NFL,13,13.0,219,926,4.23,7,71.2,65.0,41,391,9.54,3,30.1,63.1%,6.02,1317,10,101.30000000000001,0
751,752,Dexter Bussey\BussDe00,1978,26,3-65,DET,NFL,16,16.0,225,924,4.11,5,57.8,,31,275,8.87,1,17.2,,,1199,6,75.0,0
752,753,Earl Ferrell\FerrEa00,1988,30,5-125,PHO,NFL,16,16.0,202,924,4.57,7,57.8,,38,315,8.29,2,19.7,,,1239,9,77.5,0
753,754,Tatum Bell\BellTa00,2005,24,2-41,DEN,NFL,15,1.0,173,921,5.32,8,61.4,28.0,18,104,5.78,0,6.9,64.3%,3.71,1025,8,68.3,0
754,755,Napoleon Kaufman\KaufNa00,1998,25,1-18,OAK,NFL,13,13.0,217,921,4.24,2,70.8,36.0,25,191,7.64,0,14.7,69.4%,5.31,1112,2,85.5,0
755,756,Spencer Ware\WareSp00,2016,25,6-194,KAN,NFL,14,14.0,214,921,4.3,3,65.8,42.0,33,447,13.55,2,31.9,78.6%,10.64,1368,5,97.69999999999999,0
756,757,Mike Thomas\ThomMi00,1975,22,5-108,WAS,NFL,14,10.0,235,919,3.91,4,65.6,,40,483,12.08,3,34.5,,,1402,7,100.1,0
757,758,Rueben Mayes\MayeRu00,1987,24,3-57,NOR,NFL,12,12.0,243,917,3.77,5,76.4,,15,68,4.53,0,5.7,,,985,5,82.10000000000001,0
758,759,Ronnie Brown\BrowRo05,2008,27,1-2,MIA,NFL,16,13.0,214,916,4.28,10,57.3,43.0,33,254,7.7,0,15.9,76.7%,5.91,1170,10,73.2,0
759,760,Curtis Enis\EnisCu00,1999,23,1-5,CHI,NFL,15,12.0,287,916,3.19,3,61.1,68.0,45,340,7.56,2,22.7,66.2%,5.0,1256,5,83.8,0
760,761,Joe Washington\WashJo00,1981,28,1-4,WAS,NFL,14,13.0,210,916,4.36,4,65.4,,70,558,7.97,3,39.9,,,1474,7,105.30000000000001,0
761,762,Mark Higgs\HiggMa00,1992,26,8-205,MIA,NFL,16,15.0,256,915,3.57,7,57.2,20.0,16,142,8.88,0,8.9,80.0%,7.1,1057,7,66.10000000000001,0
762,763,Herschel Walker\WalkHe00,1989,27,5-114,2TM,NFL,16,14.0,250,915,3.66,7,57.2,,40,423,10.58,2,26.4,,,1338,9,83.6,0
763,764,Lynn Cain\CainLy00,1980,25,4-100,ATL,NFL,16,16.0,235,914,3.89,8,57.1,,24,223,9.29,1,13.9,,,1137,9,71.0,0
764,765,George Rogers\RogeGe00,1984,26,1-1,NOR,NFL,16,16.0,239,914,3.82,2,57.1,,12,76,6.33,0,4.8,,,990,2,61.9,0
765,766,LaDainian Tomlinson*\TomlLa00,2010,31,1-5,NYJ,NFL,15,13.0,219,914,4.17,6,60.9,79.0,52,368,7.08,0,24.5,65.8%,4.66,1282,6,85.4,0
766,767,Ted Brown\BrowTe00,1980,23,1-16,MIN,NFL,16,16.0,219,912,4.16,8,57.0,,62,623,10.05,2,38.9,,,1535,10,95.9,0
767,768,Sony Michel\MichSo00,2019,24,1-31,NWE,NFL,16,14.0,247,912,3.69,7,57.0,20.0,12,94,7.83,0,5.9,60.0%,4.7,1006,7,62.9,0
768,769,Lawrence McCutcheon\McCuLa00,1975,25,3-70,RAM,NFL,13,13.0,213,911,4.28,2,70.1,,31,230,7.42,1,17.7,,,1141,3,87.8,0
769,770,Earnest Jackson\JackEa00,1986,27,8-202,PIT,NFL,13,13.0,216,910,4.21,5,70.0,,17,169,9.94,0,13.0,,,1079,5,83.0,0
770,771,Tom Matte\MattTo00,1969,30,1-7 5-37AFL,BAL,NFL,14,14.0,235,909,3.87,11,64.9,,43,513,11.93,2,36.6,,,1422,13,101.5,0
771,772,Marlon Mack\MackMa00,2018,22,4-143,IND,NFL,12,10.0,195,908,4.66,9,75.7,26.0,17,103,6.06,1,8.6,65.4%,3.96,1011,10,84.3,1
772,773,Ronnie Brown\BrowRo05,2005,24,1-2,MIA,NFL,15,14.0,207,907,4.38,4,60.5,47.0,32,232,7.25,1,15.5,68.1%,4.94,1139,5,76.0,0
773,774,J.D. Smith\SmitJ.00,1962,30,15-179,SFO,NFL,14,14.0,258,907,3.52,6,64.8,,21,197,9.38,1,14.1,,,1104,7,78.89999999999999,0
774,775,DeAngelo Williams\WillDe02,2015,32,1-27,PIT,NFL,16,10.0,200,907,4.54,11,56.7,47.0,40,367,9.18,0,22.9,85.1%,7.81,1274,11,79.6,0
775,776,Jamal Lewis\LewiJa00,2005,26,1-5,BAL,NFL,15,15.0,269,906,3.37,3,60.4,44.0,32,191,5.97,1,12.7,72.7%,4.34,1097,4,73.1,0
776,777,Clark Gaines\GainCl00,1979,25,,NYJ,NFL,16,9.0,186,905,4.87,0,56.6,,29,219,7.55,0,13.7,,,1124,0,70.3,0
777,778,Mark Higgs\HiggMa00,1991,25,8-205,MIA,NFL,14,10.0,231,905,3.92,4,64.6,,11,80,7.27,0,5.7,,,985,4,70.3,0
778,779,Marv Hubbard\HubbMa00,1973,27,11-277,OAK,NFL,14,14.0,193,903,4.68,6,64.5,,15,116,7.73,0,8.3,,,1019,6,72.8,0
779,780,James Jones\JoneJa00,1986,25,1-13,DET,NFL,16,16.0,252,903,3.58,8,56.4,,54,334,6.19,1,20.9,,,1237,9,77.3,0
780,781,Ron Johnson\JohnRo02,1973,26,1-20,NYG,NFL,12,11.0,260,902,3.47,6,75.2,,32,377,11.78,3,31.4,,,1279,9,106.6,0
781,782,Le'Ron McClain\McClLe00,2008,24,4-137,BAL,NFL,16,16.0,232,902,3.89,10,56.4,30.0,19,123,6.47,1,7.7,63.3%,4.1,1025,11,64.1,0
782,783,Floyd Little*\LittFl00,1970,28,1-6,DEN,NFL,14,14.0,209,901,4.31,3,64.4,,17,161,9.47,0,11.5,,,1062,3,75.9,0
783,784,Edgar Bennett\BennEd00,1996,27,4-103,GNB,NFL,16,15.0,222,899,4.05,2,56.2,39.0,31,176,5.68,1,11.0,79.5%,4.51,1075,3,67.2,0
784,785,Lewis Tillman\TillLe00,1994,28,4-93,CHI,NFL,16,15.0,275,899,3.27,7,56.2,39.0,27,222,8.22,0,13.9,69.2%,5.69,1121,7,70.10000000000001,0
785,786,Matt Forte\FortMa00,2015,30,2-44,CHI,NFL,13,13.0,218,898,4.12,4,69.1,58.0,44,389,8.84,3,29.9,75.9%,6.71,1287,7,99.0,0
786,787,Earnest Graham\GrahEa00,2007,27,,TAM,NFL,15,10.0,222,898,4.05,10,59.9,69.0,49,324,6.61,0,21.6,71.0%,4.7,1222,10,81.5,0
787,788,Adrian Peterson\PeteAd01,2019,34,1-7,WAS,NFL,15,15.0,211,898,4.26,5,59.9,23.0,17,142,8.35,0,9.5,73.9%,6.17,1040,5,69.4,0
788,789,DeShaun Foster\FostDe00,2006,26,2-34,CAR,NFL,14,14.0,227,897,3.95,3,64.1,46.0,32,159,4.97,0,11.4,69.6%,3.46,1056,3,75.5,0
789,790,DeMarco Murray\MurrDe00,2011,23,3-71,DAL,NFL,13,7.0,164,897,5.47,2,69.0,35.0,26,183,7.04,0,14.1,74.3%,5.23,1080,2,83.1,0
790,791,Shaun Alexander\AlexSh00,2006,29,1-19,SEA,NFL,10,10.0,252,896,3.56,7,89.6,16.0,12,48,4.0,0,4.8,75.0%,3.0,944,7,94.39999999999999,0
791,792,Terry Allen\AlleTe00,1999,31,9-241,NWE,NFL,16,13.0,254,896,3.53,8,56.0,19.0,14,125,8.93,1,7.8,73.7%,6.58,1021,9,63.8,0
792,793,Thomas Jones\JoneTh00,2010,32,1-7,KAN,NFL,16,10.0,245,896,3.66,6,56.0,20.0,14,122,8.71,0,7.6,70.0%,6.1,1018,6,63.6,0
793,794,Dion Lewis\LewiDi00,2017,27,5-149,NWE,NFL,16,8.0,180,896,4.98,6,56.0,35.0,32,214,6.69,3,13.4,91.4%,6.11,1110,9,69.4,0
794,795,LeSean McCoy\McCoLe01,2015,27,2-53,BUF,NFL,12,12.0,203,895,4.41,3,74.6,50.0,32,292,9.13,2,24.3,64.0%,5.84,1187,5,98.89999999999999,0
795,796,Darrin Nelson\NelsDa00,1985,26,1-7,MIN,NFL,16,10.0,200,893,4.47,5,55.8,,43,301,7.0,1,18.8,,,1194,6,74.6,0
796,797,Karim Abdul-Jabbar\AbduKa00,1997,23,3-80,MIA,NFL,16,14.0,283,892,3.15,15,55.8,49.0,29,261,9.0,1,16.3,59.2%,5.33,1153,16,72.1,0
797,798,Priest Holmes\HolmPr00,2004,31,,KAN,NFL,8,8.0,196,892,4.55,14,111.5,25.0,19,187,9.84,1,23.4,76.0%,7.48,1079,15,134.9,0
798,799,Marshawn Lynch\LyncMa00,2017,31,1-12,OAK,NFL,15,15.0,207,891,4.3,7,59.4,31.0,20,151,7.55,0,10.1,64.5%,4.87,1042,7,69.5,0
799,800,Jim Otis\OtisJi00,1976,28,9-218,STL,NFL,14,11.0,233,891,3.82,2,63.6,,2,15,7.5,0,1.1,,,906,2,64.7,0
800,801,Herschel Walker\WalkHe00,1987,25,5-114,DAL,NFL,12,11.0,209,891,4.26,7,74.3,,60,715,11.92,1,59.6,,,1606,8,133.9,0
801,802,Marcus Allen*\AlleMa00,1995,35,1-10,KAN,NFL,16,15.0,207,890,4.3,5,55.6,42.0,27,210,7.78,0,13.1,64.3%,5.0,1100,5,68.7,0
802,803,Leroy Hoard\HoarLe00,1994,26,2-45,CLE,NFL,16,12.0,209,890,4.26,5,55.6,68.0,45,445,9.89,4,27.8,66.2%,6.54,1335,9,83.4,0
803,804,Fred Jackson\JackFr02,2013,32,,BUF,NFL,16,6.0,206,890,4.32,9,55.6,65.0,47,387,8.23,1,24.2,72.3%,5.95,1277,10,79.8,0
804,805,David Montgomery\MontDa01,2019,22,3-73,CHI,NFL,16,8.0,242,889,3.67,6,55.6,35.0,25,185,7.4,1,11.6,71.4%,5.29,1074,7,67.2,0
805,806,Larry Brown\BrowLa01,1969,22,8-191,WAS,NFL,14,13.0,202,888,4.4,4,63.4,,34,302,8.88,0,21.6,,,1190,4,85.0,0
806,807,Lamar Miller\MillLa01,2017,26,4-97,HOU,NFL,16,13.0,238,888,3.73,3,55.5,45.0,36,327,9.08,3,20.4,80.0%,7.27,1215,6,75.9,0
807,808,William Green\GreeWi01,2002,23,1-16,CLE,NFL,16,10.0,243,887,3.65,6,55.4,27.0,16,113,7.06,0,7.1,59.3%,4.19,1000,6,62.5,0
808,809,James Jones\JoneJa00,1985,24,1-13,DET,NFL,14,13.0,244,886,3.63,6,63.3,,45,334,7.42,3,23.9,,,1220,9,87.19999999999999,0
809,810,Chuck Muncie\MuncCh00,1983,30,1-3,SDG,NFL,15,12.0,235,886,3.77,12,59.1,,42,396,9.43,1,26.4,,,1282,13,85.5,0
810,811,Marion Barber\BarbMa01,2008,25,4-109,DAL,NFL,15,13.0,238,885,3.72,7,59.0,61.0,52,417,8.02,2,27.8,85.2%,6.84,1302,9,86.8,0
811,812,Melvin Gordon\GordMe00,2018,25,1-15,LAC,NFL,12,12.0,175,885,5.06,10,73.8,66.0,50,490,9.8,4,40.8,75.8%,7.42,1375,14,114.6,0
812,813,Todd Gurley\GurlTo01,2016,22,1-10,LAR,NFL,16,16.0,278,885,3.18,6,55.3,58.0,43,327,7.6,0,20.4,74.1%,5.64,1212,6,75.69999999999999,0
813,814,Clem Daniels\DaniCl00,1965,28,,OAK,AFL,14,,219,884,4.04,5,63.1,,36,568,15.78,7,40.6,,,1452,12,103.7,0
814,815,Joe Washington\WashJo00,1979,26,1-4,BAL,NFL,15,15.0,242,884,3.65,4,58.9,,82,750,9.15,3,50.0,,,1634,7,108.9,0
815,816,Ricky Williams\WillRi00,1999,22,1-5,NOR,NFL,12,12.0,253,884,3.49,2,73.7,40.0,28,172,6.14,0,14.3,70.0%,4.3,1056,2,88.0,0
816,817,Greg Bell\BellGr00,1985,23,1-26,BUF,NFL,16,15.0,223,883,3.96,8,55.2,,58,576,9.93,1,36.0,,,1459,9,91.2,0
817,818,John Brockington\BrocJo00,1974,26,1-9,GNB,NFL,14,14.0,266,883,3.32,5,63.1,,43,314,7.3,0,22.4,,,1197,5,85.5,0
818,819,Alvin Kamara\KamaAl00,2018,23,3-67,NOR,NFL,15,13.0,194,883,4.55,14,58.9,105.0,81,709,8.75,4,47.3,77.1%,6.75,1592,18,106.19999999999999,0
819,820,Natrone Means\MeanNa00,1998,26,2-41,SDG,NFL,10,10.0,212,883,4.17,5,88.3,22.0,16,91,5.69,0,9.1,72.7%,4.14,974,5,97.39999999999999,0
820,821,Thurman Thomas*\ThomTh00,1988,22,2-40,BUF,NFL,15,15.0,207,881,4.26,2,58.7,,18,208,11.56,0,13.9,,,1089,2,72.60000000000001,0
821,822,Gale Sayers*\SayeGa00,1967,24,1-4 1-5AFL,CHI,NFL,13,13.0,186,880,4.73,7,67.7,,16,126,7.88,1,9.7,,,1006,8,77.4,0
822,823,DeShaun Foster\FostDe00,2005,25,2-34,CAR,NFL,15,5.0,205,879,4.29,2,58.6,48.0,34,372,10.94,1,24.8,70.8%,7.75,1251,3,83.4,0
823,824,Bernie Parmalee\ParmBe00,1995,28,,MIA,NFL,16,12.0,236,878,3.72,9,54.9,46.0,39,345,8.85,1,21.6,84.8%,7.5,1223,10,76.5,0
824,825,Walter Abercrombie\AberWa00,1986,27,1-12,PIT,NFL,16,16.0,214,877,4.1,6,54.8,,47,395,8.4,2,24.7,,,1272,8,79.5,0
825,826,Stacey Mack\MackSt00,2001,26,,JAX,NFL,16,11.0,213,877,4.12,9,54.8,34.0,23,165,7.17,1,10.3,67.6%,4.85,1042,10,65.1,0
826,827,Ricky Watters\WattRi00,1994,25,2-45,SFO,NFL,16,16.0,239,877,3.67,6,54.8,88.0,66,719,10.89,5,44.9,75.0%,8.17,1596,11,99.69999999999999,0
827,828,John Williams\WillJo00,1988,24,1-15,SEA,NFL,16,16.0,189,877,4.64,4,54.8,,58,651,11.22,3,40.7,,,1528,7,95.5,0
828,829,DeShaun Foster\FostDe00,2007,27,2-34,CAR,NFL,16,16.0,247,876,3.55,3,54.8,36.0,25,182,7.28,1,11.4,69.4%,5.06,1058,4,66.2,0
829,830,Johnny Roland\RolaJo00,1967,24,4-54,STL,NFL,13,13.0,234,876,3.74,10,67.4,,20,269,13.45,1,20.7,,,1145,11,88.10000000000001,0
830,831,Abner Haynes\HaynAb00,1960,23,5-55,DTX,AFL,14,11.0,156,875,5.61,9,62.5,,55,576,10.47,3,41.1,,,1451,12,103.6,0
831,832,Mercury Morris\MorrMe00,1975,28,3-63,MIA,NFL,14,14.0,219,875,4.0,4,62.5,,2,15,7.5,0,1.1,,,890,4,63.6,0
832,833,Gerald Riggs\RiggGe00,1987,27,1-9,ATL,NFL,12,12.0,203,875,4.31,2,72.9,,25,199,7.96,0,16.6,,,1074,2,89.5,0
833,834,Larry Csonka*\CsonLa00,1970,24,1-8,MIA,NFL,14,14.0,193,874,4.53,6,62.4,,11,94,8.55,0,6.7,,,968,6,69.1,0
834,835,Larry Johnson\JohnLa00,2008,29,1-27,KAN,NFL,12,12.0,193,874,4.53,5,72.8,17.0,12,74,6.17,0,6.2,70.6%,4.35,948,5,79.0,0
835,836,Napoleon Kaufman\KaufNa00,1996,23,1-18,OAK,NFL,16,9.0,150,874,5.83,1,54.6,26.0,22,143,6.5,1,8.9,84.6%,5.5,1017,2,63.5,0
836,837,Jay Ajayi\AjayJa00,2017,24,5-149,2TM,NFL,14,8.0,208,873,4.2,1,62.4,34.0,24,158,6.58,1,11.3,70.6%,4.65,1031,2,73.7,0
837,838,Tony Collins\CollTo01,1981,22,2-47,NWE,NFL,16,11.0,204,873,4.28,7,54.6,,26,232,8.92,0,14.5,,,1105,7,69.1,0
838,839,Dickie Post\PostDi00,1969,24,4-94,SDG,AFL,14,13.0,182,873,4.8,6,62.4,,24,235,9.79,0,16.8,,,1108,6,79.2,0
839,840,Haskel Stanback\StanHa00,1977,25,5-114,ATL,NFL,14,14.0,247,873,3.53,6,62.4,,30,261,8.7,0,18.6,,,1134,6,81.0,0
840,841,Lamar Miller\MillLa01,2015,24,4-97,MIA,NFL,16,16.0,194,872,4.49,8,54.5,57.0,47,397,8.45,2,24.8,82.5%,6.96,1269,10,79.3,0
841,842,Nick Pietrosante\PietNi00,1960,23,1-6,DET,NFL,12,11.0,161,872,5.42,8,72.7,,13,129,9.92,0,10.8,,,1001,8,83.5,0
842,843,Peyton Barber\BarbPe01,2018,24,,TAM,NFL,16,16.0,234,871,3.72,5,54.4,29.0,20,92,4.6,1,5.8,69.0%,3.17,963,6,60.199999999999996,0
843,844,Michael Turner\TurnMi00,2009,27,5-154,ATL,NFL,11,11.0,178,871,4.89,10,79.2,7.0,5,35,7.0,0,3.2,71.4%,5.0,906,10,82.4,0
844,845,Bernie Parmalee\ParmBe00,1994,27,,MIA,NFL,15,10.0,216,868,4.02,6,57.9,50.0,34,249,7.32,1,16.6,68.0%,4.98,1117,7,74.5,0
845,846,Marv Hubbard\HubbMa00,1971,25,11-277,OAK,NFL,14,11.0,181,867,4.79,5,61.9,,22,167,7.59,1,11.9,,,1034,6,73.8,0
846,847,Gale Sayers*\SayeGa00,1965,22,1-4 1-5AFL,CHI,NFL,14,11.0,166,867,5.22,14,61.9,,29,507,17.48,6,36.2,,,1374,20,98.1,0
847,848,Wendell Tyler\TyleWe00,1985,30,3-79,SFO,NFL,13,12.0,171,867,5.07,6,66.7,,20,154,7.7,2,11.8,,,1021,8,78.5,0
848,849,Bill Brown\BrowBi00,1964,26,2-20 6-45AFL,MIN,NFL,14,14.0,226,866,3.83,7,61.9,,48,703,14.65,9,50.2,,,1569,16,112.1,0
849,850,Robert Holmes\HolmRo01,1968,23,14-375,KAN,AFL,14,10.0,174,866,4.98,7,61.9,,19,201,10.58,0,14.4,,,1067,7,76.3,0
850,851,Tiki Barber\BarbTi00,2001,26,2-36,NYG,NFL,14,9.0,166,865,5.21,4,61.8,98.0,72,577,8.01,0,41.2,73.5%,5.89,1442,4,103.0,0
851,852,Hewritt Dixon\DixoHe00,1968,28,11-151 8-60AFL,OAK,AFL,14,13.0,206,865,4.2,2,61.8,,38,360,9.47,2,25.7,,,1225,4,87.5,0
852,853,Devonta Freeman\FreeDe00,2017,25,4-103,ATL,NFL,14,14.0,196,865,4.41,7,61.8,47.0,36,317,8.81,1,22.6,76.6%,6.74,1182,8,84.4,0
853,854,Marv Hubbard\HubbMa00,1974,28,11-277,OAK,NFL,14,13.0,188,865,4.6,4,61.8,,11,95,8.64,0,6.8,,,960,4,68.6,0
854,855,Pete Johnson\JohnPe00,1979,25,2-49,CIN,NFL,16,13.0,243,865,3.56,14,54.1,,24,154,6.42,1,9.6,,,1019,15,63.7,0
855,856,Leroy Kelly*\KellLe00,1971,29,8-110,CLE,NFL,14,14.0,234,865,3.7,10,61.8,,25,252,10.08,2,18.0,,,1117,12,79.8,0
856,857,Ronnie Hillman\HillRo00,2015,24,3-67,DEN,NFL,16,11.0,207,863,4.17,7,53.9,35.0,24,111,4.63,0,6.9,68.6%,3.17,974,7,60.8,0
857,858,Rashad Jennings\JennRa00,2015,30,7-250,NYG,NFL,16,16.0,195,863,4.43,3,53.9,40.0,29,296,10.21,1,18.5,72.5%,7.4,1159,4,72.4,0
858,859,Ollie Matson*\MatsOl00,1959,29,1-3,RAM,NFL,12,9.0,161,863,5.36,6,71.9,,18,130,7.22,0,10.8,,,993,6,82.7,0
859,860,Jerome Harrison\HarrJe00,2009,26,5-145,CLE,NFL,14,7.0,194,862,4.44,5,61.6,50.0,34,220,6.47,2,15.7,68.0%,4.4,1082,7,77.3,0
860,861,Timmy Brown\BrowTi01,1965,28,27-313,PHI,NFL,13,13.0,158,861,5.45,6,66.2,,50,682,13.64,3,52.5,,,1543,9,118.7,0
861,862,Hewritt Dixon\DixoHe00,1970,30,11-151 8-60AFL,OAK,NFL,14,14.0,197,861,4.37,1,61.5,,31,207,6.68,1,14.8,,,1068,2,76.3,0
862,863,Joique Bell\BellJo01,2014,28,,DET,NFL,15,6.0,223,860,3.86,7,57.3,53.0,34,322,9.47,1,21.5,64.2%,6.08,1182,8,78.8,0
863,864,Le'Veon Bell\BellLe00,2013,21,2-48,PIT,NFL,13,13.0,244,860,3.52,8,66.2,66.0,45,399,8.87,0,30.7,68.2%,6.05,1259,8,96.9,0
864,865,Larry Brown\BrowLa01,1973,26,8-191,WAS,NFL,14,14.0,273,860,3.15,8,61.4,,40,482,12.05,6,34.4,,,1342,14,95.8,0
865,866,Gerry Ellis\ElliGe00,1981,24,7-192,GNB,NFL,16,16.0,196,860,4.39,4,53.8,,65,499,7.68,3,31.2,,,1359,7,85.0,0
866,867,Mel Farr\FarrMe00,1967,23,1-7,DET,NFL,13,11.0,206,860,4.17,3,66.2,,39,317,8.13,3,24.4,,,1177,6,90.6,0
867,868,Derrick Fenner\FennDe00,1990,23,10-268,SEA,NFL,16,15.0,215,859,4.0,14,53.7,,17,143,8.41,1,8.9,,,1002,15,62.6,0
868,869,Floyd Little*\LittFl00,1972,30,1-6,DEN,NFL,14,14.0,216,859,3.98,9,61.4,,28,367,13.11,4,26.2,,,1226,13,87.6,0
869,870,Dexter Bussey\BussDe00,1976,24,3-65,DET,NFL,14,14.0,196,858,4.38,3,61.3,,28,218,7.79,0,15.6,,,1076,3,76.89999999999999,0
870,871,Dick Hoak\HoakDi00,1968,29,7-90,PIT,NFL,14,13.0,175,858,4.9,3,61.3,,28,253,9.04,1,18.1,,,1111,4,79.4,0
871,872,Randy McMillan\McMiRa00,1985,27,1-12,IND,NFL,15,14.0,190,858,4.52,7,57.2,,22,115,5.23,0,7.7,,,973,7,64.9,0
872,873,Todd Gurley\GurlTo01,2019,25,1-10,LAR,NFL,15,15.0,223,857,3.84,12,57.1,49.0,31,207,6.68,2,13.8,63.3%,4.22,1064,14,70.9,0
873,874,Butch Woolfolk\WoolBu00,1983,23,1-18,NYG,NFL,16,16.0,246,857,3.48,4,53.6,,28,368,13.14,0,23.0,,,1225,4,76.6,0
874,875,Freeman McNeil\McNeFr00,1986,27,1-3,NYJ,NFL,12,11.0,214,856,4.0,5,71.3,,49,410,8.37,1,34.2,,,1266,6,105.5,0
875,876,Gale Sayers*\SayeGa00,1968,25,1-4 1-5AFL,CHI,NFL,9,9.0,138,856,6.2,2,95.1,,15,117,7.8,0,13.0,,,973,2,108.1,0
876,877,Wendell Tyler\TyleWe00,1983,28,3-79,SFO,NFL,14,14.0,176,856,4.86,4,61.1,,34,285,8.38,2,20.4,,,1141,6,81.5,0
877,878,Paul Lowe\LowePa00,1960,24,,LAC,AFL,14,11.0,136,855,6.29,8,61.1,,23,377,16.39,2,26.9,,,1232,10,88.0,0
878,879,Chris Warren\WarrCh00,1996,28,4-89,SEA,NFL,14,14.0,203,855,4.21,5,61.1,46.0,40,273,6.83,0,19.5,87.0%,5.93,1128,5,80.6,0
879,880,Ken Willard\WillKe02,1971,28,1-2,SFO,NFL,14,14.0,216,855,3.96,4,61.1,,27,202,7.48,1,14.4,,,1057,5,75.5,0
880,881,Jim Bertelsen\BertJi00,1973,23,2-30,RAM,NFL,14,14.0,206,854,4.15,4,61.0,,19,267,14.05,1,19.1,,,1121,5,80.1,0
881,882,Donny Anderson\AndeDo00,1970,27,1-7,GNB,NFL,14,14.0,222,853,3.84,5,60.9,,36,414,11.5,0,29.6,,,1267,5,90.5,0
882,883,Isaiah Crowell\CrowIs00,2017,24,,CLE,NFL,16,16.0,206,853,4.14,2,53.3,42.0,28,182,6.5,0,11.4,66.7%,4.33,1035,2,64.7,0
883,884,Justin Fargas\FargJu00,2008,28,3-96,OAK,NFL,14,14.0,218,853,3.91,1,60.9,15.0,10,52,5.2,0,3.7,66.7%,3.47,905,1,64.6,0
884,885,Frank Gore\GoreFr00,2010,27,3-65,SFO,NFL,11,11.0,203,853,4.2,3,77.5,72.0,46,452,9.83,2,41.1,63.9%,6.28,1305,5,118.6,0
885,886,Errict Rhett\RhetEr00,1999,29,2-34,BAL,NFL,16,10.0,236,852,3.61,5,53.3,32.0,24,169,7.04,2,10.6,75.0%,5.28,1021,7,63.9,0
886,887,Walter Abercrombie\AberWa00,1985,26,1-12,PIT,NFL,16,16.0,227,851,3.75,7,53.2,,24,209,8.71,2,13.1,,,1060,9,66.3,0
