Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
847,Gale Sayers*\SayeGa00,1965,22,1-4 1-5AFL,CHI,NFL,14,11,166,867,5.22,14,61.9,,29,507,17.48,6,36.2,,
848,Wendell Tyler\TyleWe00,1985,30,3-79,SFO,NFL,13,12,171,867,5.07,6,66.7,,20,154,7.70,2,11.8,,
849,Bill Brown\BrowBi00,1964,26,2-20 6-45AFL,MIN,NFL,14,14,226,866,3.83,7,61.9,,48,703,14.65,9,50.2,,
850,Robert Holmes\HolmRo01,1968,23,14-375,KAN,AFL,14,10,174,866,4.98,7,61.9,,19,201,10.58,0,14.4,,
851,Tiki Barber\BarbTi00,2001,26,2-36,NYG,NFL,14,9,166,865,5.21,4,61.8,98,72,577,8.01,0,41.2,73.5%,5.89
852,Hewritt Dixon\DixoHe00,1968,28,11-151 8-60AFL,OAK,AFL,14,13,206,865,4.20,2,61.8,,38,360,9.47,2,25.7,,
853,Devonta Freeman\FreeDe00,2017,25,4-103,ATL,NFL,14,14,196,865,4.41,7,61.8,47,36,317,8.81,1,22.6,76.6%,6.74
854,Marv Hubbard\HubbMa00,1974,28,11-277,OAK,NFL,14,13,188,865,4.60,4,61.8,,11,95,8.64,0,6.8,,
855,Pete Johnson\JohnPe00,1979,25,2-49,CIN,NFL,16,13,243,865,3.56,14,54.1,,24,154,6.42,1,9.6,,
856,Leroy Kelly*\KellLe00,1971,29,8-110,CLE,NFL,14,14,234,865,3.70,10,61.8,,25,252,10.08,2,18.0,,
857,Ronnie Hillman\HillRo00,2015,24,3-67,DEN,NFL,16,11,207,863,4.17,7,53.9,35,24,111,4.63,0,6.9,68.6%,3.17
858,Rashad Jennings\JennRa00,2015,30,7-250,NYG,NFL,16,16,195,863,4.43,3,53.9,40,29,296,10.21,1,18.5,72.5%,7.40
