Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
1124,Sid Blanks\BlanSi00,1964,24,3-42 5-38AFL,HOU,AFL,14,,145,756,5.21,6,54.0,,56,497,8.88,1,35.5,,
1125,BenJarvus Green-Ellis\GreeBe00,2013,28,,CIN,NFL,16,16,220,756,3.44,7,47.3,8,4,22,5.50,0,1.4,50.0%,2.75
1126,Cleo Miller\MillCl00,1977,25,,CLE,NFL,14,14,163,756,4.64,4,54.0,,41,291,7.10,1,20.8,,
1127,Ted McKnight\McKnTe00,1979,25,2-57,KAN,NFL,15,14,153,755,4.93,8,50.3,,38,226,5.95,0,15.1,,
1128,Charley Taylor*\TaylCh00,1964,23,1-3 2-9AFL,WAS,NFL,14,14,199,755,3.79,5,53.9,,53,814,15.36,5,58.1,,
1129,Marcus Allen*\AlleMa00,1987,27,1-10,RAI,NFL,12,12,200,754,3.77,5,62.8,,51,410,8.04,0,34.2,,
1130,Reggie Cobb\CobbRe00,1991,23,2-30,TAM,NFL,16,11,196,752,3.84,7,47.0,,15,111,7.40,0,6.9,,
1131,David Sims\SimsDa00,1978,23,7-169,SEA,NFL,12,9,174,752,4.32,14,62.7,,30,195,6.50,1,16.3,,
1132,Clarence Williams\WillCl01,1979,24,5-124,SDG,NFL,16,16,200,752,3.76,12,47.0,,51,352,6.90,0,22.0,,
1133,John David Crow\CrowJo00,1962,27,1-2,STL,NFL,14,14,192,751,3.91,14,53.6,,23,246,10.70,3,17.6,,
1134,Orleans Darkwa\DarkOr00,2017,25,,NYG,NFL,15,11,171,751,4.39,5,50.1,28,19,116,6.11,0,7.7,67.9%,4.14
1135,Alfred Morris\MorrAl00,2015,27,6-173,WAS,NFL,16,16,202,751,3.72,1,46.9,13,10,55,5.50,0,3.4,76.9%,4.23
1136,Michael Pittman\PittMi00,2003,28,4-95,TAM,NFL,16,13,187,751,4.02,0,46.9,121,75,597,7.96,2,37.3,62.0%,4.93
1137,Larry Garron\GarrLa00,1963,26,,BOS,AFL,14,,175,750,4.29,2,53.6,,26,418,16.08,2,29.9,,
1138,Ernie Green\GreeEr01,1966,28,14-196,CLE,NFL,14,14,144,750,5.21,3,53.6,,45,445,9.89,6,31.8,,
1139,Jim Nance\NancJi00,1969,27,4-45 19-151AFL,BOS,AFL,14,14,193,750,3.89,6,53.6,,29,168,5.79,0,12.0,,
1140,Larry Csonka*\CsonLa00,1974,28,1-8,MIA,NFL,12,11,197,749,3.80,9,62.4,,7,35,5.00,0,2.9,,
1141,Chuck Foreman\ForeCh00,1978,28,1-12,MIN,NFL,14,14,237,749,3.16,5,53.5,,61,396,6.49,2,28.3,,
1142,Rick Parros\ParrRi00,1981,23,4-107,DEN,NFL,16,16,176,749,4.26,2,46.8,,25,216,8.64,1,13.5,,
1143,Ed Podolak\PodoEd00,1970,23,2-48,KAN,NFL,14,9,168,749,4.46,3,53.5,,26,307,11.81,1,21.9,,
1144,Tony Dorsett*\DorsTo00,1986,32,1-2,DAL,NFL,13,12,184,748,4.07,5,57.5,,25,267,10.68,1,20.5,,
1145,Earl Gros\GrosEa00,1964,24,1-14 2-15AFL,PHI,NFL,13,12,154,748,4.86,2,57.5,,29,234,8.07,0,18.0,,
1146,Raymont Harris\HarrRa00,1996,26,4-114,CHI,NFL,12,10,194,748,3.86,4,62.3,43,32,296,9.25,1,24.7,74.4%,6.88
1147,Neal Anderson\AndeNe00,1991,27,1-27,CHI,NFL,13,12,210,747,3.56,6,57.5,,47,368,7.83,3,28.3,,
1148,Cedric Benson\BensCe00,2008,26,1-4,CIN,NFL,12,10,214,747,3.49,2,62.3,26,20,185,9.25,0,15.4,76.9%,7.12
1149,Pete Johnson\JohnPe00,1980,26,2-49,CIN,NFL,12,8,186,747,4.02,6,62.3,,21,172,8.19,1,14.3,,
1150,Kevin Smith\SmitKe02,2009,23,3-64,DET,NFL,13,13,217,747,3.44,4,57.5,57,41,415,10.12,1,31.9,71.9%,7.28
1151,Matt Snell\SnelMa00,1968,27,4-49 1-3AFL,NYJ,AFL,14,14,179,747,4.17,6,53.4,,16,105,6.56,1,7.5,,
1152,Marion Butts\ButtMa00,1993,27,7-183,SDG,NFL,16,16,185,746,4.03,4,46.6,24,15,105,7.00,0,6.6,62.5%,4.38
1153,Andra Franklin\FranAn00,1983,24,2-56,MIA,NFL,15,12,224,746,3.33,8,49.7,,0,0,,0,0.0,,
1154,Herschel Walker\WalkHe00,1993,31,5-114,PHI,NFL,16,16,174,746,4.29,1,46.6,91,75,610,8.13,3,38.1,82.4%,6.70
1155,Tony Dorsett*\DorsTo00,1982,28,1-2,DAL,NFL,9,9,177,745,4.21,5,82.8,,24,179,7.46,0,19.9,,
1156,Laurence Maroney\MaroLa00,2006,21,1-21,NWE,NFL,14,0,175,745,4.26,6,53.2,30,22,194,8.82,1,13.9,73.3%,6.47
1157,Moe Williams\WillMo00,2003,29,3-75,MIN,NFL,16,7,174,745,4.28,5,46.6,87,65,644,9.91,3,40.3,74.7%,7.40
1158,Derrick Henry\HenrDe00,2017,23,2-45,TEN,NFL,16,2,176,744,4.23,5,46.5,17,11,136,12.36,1,8.5,64.7%,8.00
1159,Lee Suggs\SuggLe00,2004,24,4-115,CLE,NFL,10,3,199,744,3.74,2,74.4,36,20,178,8.90,1,17.8,55.6%,4.94
1160,Bobby Mitchell*\MitcBo00,1959,24,7-84,CLE,NFL,12,12,131,743,5.67,5,61.9,,35,351,10.03,4,29.3,,
1161,Alex Webster\WebsAl00,1962,31,11-123,NYG,NFL,14,14,207,743,3.59,5,53.1,,47,477,10.15,4,34.1,,
1162,Ricky Williams\WillRi00,2005,28,1-5,MIA,NFL,12,3,168,743,4.42,6,61.9,20,17,93,5.47,0,7.8,85.0%,4.65
1163,O.J. Simpson*\SimpO.00,1971,24,1-1,BUF,NFL,14,14,183,742,4.05,5,53.0,,21,162,7.71,0,11.6,,
1164,Ryan Torain\ToraRy00,2010,24,5-139,WAS,NFL,10,8,164,742,4.52,4,74.2,27,18,125,6.94,2,12.5,66.7%,4.63
1165,Norm Bulaich\BulaNo00,1971,25,1-18,BAL,NFL,13,12,152,741,4.88,8,57.0,,25,229,9.16,2,17.6,,
1166,John Williams\WillJo00,1991,27,1-15,SEA,NFL,16,16,188,741,3.94,4,46.3,,61,499,8.18,1,31.2,,
1167,Sammy Winder\WindSa00,1987,28,5-131,DEN,NFL,12,10,196,741,3.78,6,61.8,,14,74,5.29,1,6.2,,
1168,Hoyle Granger\GranHo00,1969,25,4-63 5-37AFL,HOU,AFL,13,13,186,740,3.98,3,56.9,,27,330,12.22,1,25.4,,
1169,Tommy Mason\MasoTo00,1962,23,1-1 1-2AFL,MIN,NFL,14,11,167,740,4.43,2,52.9,,36,603,16.75,6,43.1,,
1170,Derrick Moore\MoorDe00,1995,28,8-216,CAR,NFL,13,10,195,740,3.79,4,56.9,8,4,12,3.00,0,0.9,50.0%,1.50
1171,T.J. Yeldon\YeldT.00,2015,22,2-36,JAX,NFL,12,12,182,740,4.07,2,61.7,46,36,279,7.75,1,23.3,78.3%,6.07
1172,Terry Metcalf\MetcTe00,1977,26,3-63,STL,NFL,14,11,149,739,4.96,4,52.8,,34,403,11.85,2,28.8,,
1173,Jim Kiick\KiicJi00,1971,25,5-118,MIA,NFL,13,11,162,738,4.56,3,56.8,,40,338,8.45,0,26.0,,
1174,Marshawn Lynch\LyncMa00,2010,24,1-12,2TM,NFL,16,14,202,737,3.65,6,46.1,26,22,145,6.59,0,9.1,84.6%,5.58
1175,Bam Morris\MorrBa00,1996,24,3-91,BAL,NFL,11,7,172,737,4.28,4,67.0,31,25,242,9.68,1,22.0,80.6%,7.81
1176,Lamar Smith\SmitLa00,2002,32,3-73,CAR,NFL,11,11,209,737,3.53,7,67.0,26,20,167,8.35,0,15.2,76.9%,6.42
1177,Herschel Walker\WalkHe00,1986,24,5-114,DAL,NFL,16,9,151,737,4.88,12,46.1,,76,837,11.01,2,52.3,,
1178,DeAngelo Williams\WillDe02,2012,29,1-27,CAR,NFL,16,10,173,737,4.26,5,46.1,20,13,187,14.38,2,11.7,65.0%,9.35
1179,Tim Hightower\HighTi00,2010,24,5-149,ARI,NFL,16,13,153,736,4.81,5,46.0,42,21,136,6.48,0,8.5,50.0%,3.24
1180,Altie Taylor\TaylAl00,1971,24,2-34,DET,NFL,14,14,174,736,4.23,4,52.6,,26,270,10.38,1,19.3,,
1181,Kevin Mack\MackKe00,1987,25,1-11,CLE,NFL,12,12,201,735,3.66,5,61.3,,32,223,6.97,1,18.6,,
1182,Curtis Martin*\MartCu00,2005,32,3-74,NYJ,NFL,12,12,220,735,3.34,5,61.3,30,24,118,4.92,0,9.8,80.0%,3.93
1183,Mike Tolbert\TolbMi00,2010,25,,SDG,NFL,15,4,182,735,4.04,11,49.0,29,25,216,8.64,0,14.4,86.2%,7.45
1184,Ronnie Brown\BrowRo05,2010,29,1-2,MIA,NFL,16,16,200,734,3.67,5,45.9,43,33,242,7.33,0,15.1,76.7%,5.63
1185,Johnny Johnson\JohnJo00,1992,24,7-169,PHO,NFL,12,8,178,734,4.12,6,61.2,19,14,103,7.36,0,8.6,73.7%,5.42
1186,Jim Taylor*\TaylJi00,1965,30,2-15,GNB,NFL,14,14,207,734,3.55,4,52.4,,20,207,10.35,0,14.8,,
1187,Corey Dillon\DillCo00,2005,31,2-43,NWE,NFL,12,10,209,733,3.51,12,61.1,26,22,181,8.23,1,15.1,84.6%,6.96
1188,Rashad Jennings\JennRa00,2013,28,7-250,OAK,NFL,15,8,163,733,4.50,6,48.9,48,36,292,8.11,0,19.5,75.0%,6.08
1189,Mike Garrett\GarrMi00,1969,25,2-18 20-178AFL,KAN,AFL,14,14,168,732,4.36,6,52.3,,43,432,10.05,2,30.9,,
1190,Fred Taylor\TaylFr00,1999,23,1-9,JAX,NFL,10,9,159,732,4.60,6,73.2,15,10,83,8.30,0,8.3,66.7%,5.53
1191,Harold Green\GreeHa00,1991,23,2-38,CIN,NFL,14,10,158,731,4.63,2,52.2,,16,136,8.50,0,9.7,,
1192,Doug Kotar\KotaDo00,1976,25,,NYG,NFL,14,14,185,731,3.95,3,52.2,,36,319,8.86,0,22.8,,
1193,Willis McGahee\McGaWi00,2012,31,1-23,DEN,NFL,10,9,167,731,4.38,4,73.1,33,26,221,8.50,0,22.1,78.8%,6.70
1194,Giovani Bernard\BernGi00,2015,24,2-37,CIN,NFL,16,1,154,730,4.74,2,45.6,66,49,472,9.63,0,29.5,74.2%,7.15
1195,Natrone Means\MeanNa00,1995,23,2-41,SDG,NFL,10,9,186,730,3.92,5,73.0,9,7,46,6.57,0,4.6,77.8%,5.11
1196,LaDainian Tomlinson*\TomlLa00,2009,30,1-5,SDG,NFL,14,14,223,730,3.27,12,52.1,30,20,154,7.70,0,11.0,66.7%,5.13
1197,Eric Dickerson*\DickEr00,1992,32,1-2,RAI,NFL,16,15,187,729,3.90,2,45.6,22,14,85,6.07,1,5.3,63.6%,3.86
1198,Travis Henry\HenrTr00,2001,23,2-58,BUF,NFL,13,12,213,729,3.42,4,56.1,27,22,179,8.14,0,13.8,81.5%,6.63
1199,Floyd Little*\LittFl00,1969,27,1-6,DEN,AFL,9,9,146,729,4.99,6,81.0,,19,218,11.47,1,24.2,,
1200,Selvin Young\YounSe00,2007,24,,DEN,NFL,15,8,140,729,5.21,1,48.6,43,35,231,6.60,0,15.4,81.4%,5.37
1201,Aaron Jones\JoneAa00,2018,24,5-182,GNB,NFL,12,8,133,728,5.47,8,60.7,35,26,206,7.92,1,17.2,74.3%,5.89
1202,Alvin Kamara\KamaAl00,2017,22,3-67,NOR,NFL,16,3,120,728,6.07,8,45.5,100,81,826,10.20,5,51.6,81.0%,8.26
1203,Blair Thomas\ThomBl00,1991,24,1-2,NYJ,NFL,16,12,189,728,3.85,3,45.5,,30,195,6.50,1,12.2,,
1204,Don Calhoun\CalhDo00,1977,25,10-249,NWE,NFL,14,14,198,727,3.67,4,51.9,,13,152,11.69,0,10.9,,
1205,Sammy Morris\MorrSa00,2008,31,5-156,NWE,NFL,13,7,156,727,4.66,7,55.9,24,17,161,9.47,0,12.4,70.8%,6.71
1206,Kevin Mack\MackKe00,1991,29,1-11,CLE,NFL,14,11,197,726,3.69,8,51.9,,40,255,6.38,2,18.2,,
1207,Stump Mitchell\MitcSt00,1988,29,9-226,PHO,NFL,14,14,164,726,4.43,4,51.9,,25,214,8.56,1,15.3,,
1208,Don Perkins\PerkDo00,1966,28,9-106,DAL,NFL,14,14,186,726,3.90,8,51.9,,23,231,10.04,0,16.5,,
1209,Roger Craig\CraiRo00,1983,23,2-49,SFO,NFL,16,13,176,725,4.12,8,45.3,,48,427,8.90,4,26.7,,
1210,Jon Keyworth\KeywJo00,1975,25,6-144,DEN,NFL,14,14,182,725,3.98,3,51.8,,42,314,7.48,1,22.4,,
1211,Terry Allen\AlleTe00,1997,29,9-241,WAS,NFL,10,10,210,724,3.45,4,72.4,29,20,172,8.60,1,17.2,69.0%,5.93
1212,Clark Gaines\GainCl00,1976,22,,NYJ,NFL,14,8,157,724,4.61,3,51.7,,41,400,9.76,2,28.6,,
1213,Ronald Jones\JoneRo01,2019,22,2-38,TAM,NFL,16,9,172,724,4.21,6,45.3,40,31,309,9.97,0,19.3,77.5%,7.73
1214,Derek Loville\LoviDe00,1995,27,,SFO,NFL,16,16,218,723,3.32,10,45.2,110,87,662,7.61,3,41.4,79.1%,6.02
1215,Doug Martin\MartDo00,2018,29,1-31,OAK,NFL,16,9,172,723,4.20,4,45.2,24,18,116,6.44,0,7.3,75.0%,4.83
1216,James Stewart\StewJa00,1996,25,1-19,JAX,NFL,13,11,190,723,3.81,8,55.6,40,30,177,5.90,2,13.6,75.0%,4.43
1217,Junior Coffey\CoffJu00,1966,24,7-94 16-122AFL,ATL,NFL,14,14,199,722,3.63,4,51.6,,15,182,12.13,1,13.0,,
1218,Junior Coffey\CoffJu00,1967,25,7-94 16-122AFL,ATL,NFL,14,14,180,722,4.01,4,51.6,,30,196,6.53,1,14.0,,
1219,Frank Gore\GoreFr00,2018,35,3-65,MIA,NFL,14,14,156,722,4.63,0,51.6,16,12,124,10.33,1,8.9,75.0%,7.75
1220,Bilal Powell\PoweBi00,2016,28,4-126,NYJ,NFL,16,4,131,722,5.51,3,45.1,74,58,388,6.69,2,24.3,78.4%,5.24
1221,Don Calhoun\CalhDo00,1976,24,10-249,NWE,NFL,14,3,129,721,5.59,1,51.5,,12,56,4.67,0,4.0,,
1222,Robert Newhouse\NewhRo00,1977,27,2-35,DAL,NFL,14,14,180,721,4.01,3,51.5,,16,106,6.63,1,7.6,,
1223,Ed Podolak\PodoEd00,1973,26,2-48,KAN,NFL,14,13,210,721,3.43,3,51.5,,55,445,8.09,0,31.8,,
1224,Anthony Thomas\ThomAn01,2002,25,2-38,CHI,NFL,12,12,214,721,3.37,6,60.1,41,24,163,6.79,0,13.6,58.5%,3.98
1225,Andre Williams\WillAn00,2014,22,4-113,NYG,NFL,16,7,217,721,3.32,7,45.1,37,18,130,7.22,0,8.1,48.6%,3.51
1226,C.J. Anderson\AndeC.00,2015,24,,DEN,NFL,15,6,152,720,4.74,5,48.0,36,25,183,7.32,0,12.2,69.4%,5.08
1227,Dexter Bussey\BussDe00,1980,28,3-65,DET,NFL,16,16,145,720,4.97,3,45.0,,39,364,9.33,0,22.8,,
1228,Earl Cooper\CoopEa00,1980,23,1-13,SFO,NFL,16,16,171,720,4.21,5,45.0,,83,567,6.83,4,35.4,,
1229,Warrick Dunn\DunnWa00,2007,32,1-12,ATL,NFL,16,15,227,720,3.17,4,45.0,59,37,238,6.43,0,14.9,62.7%,4.03
1230,Allen Pinkett\PinkAl00,1991,27,3-61,HOU,NFL,16,16,171,720,4.21,9,45.0,,29,228,7.86,1,14.3,,
1231,Michael Pittman\PittMi00,2000,25,4-95,ARI,NFL,16,12,184,719,3.91,4,44.9,91,73,579,7.93,2,36.2,80.2%,6.36
1232,Altie Taylor\TaylAl00,1973,26,2-34,DET,NFL,13,13,176,719,4.09,5,55.3,,27,252,9.33,0,19.4,,
1233,Tim Biakabutuka\BiakTi00,1999,25,1-8,CAR,NFL,11,11,138,718,5.20,6,65.3,29,23,189,8.22,0,17.2,79.3%,6.52
1234,Gus Edwards\EdwaGu00,2018,23,,BAL,NFL,11,6,137,718,5.24,2,65.3,2,2,20,10.00,0,1.8,100.0%,10.00
1235,Terry Metcalf\MetcTe00,1974,23,3-63,STL,NFL,14,13,152,718,4.72,6,51.3,,50,377,7.54,1,26.9,,
1236,Don Nottingham\NottDo00,1975,26,17-441,MIA,NFL,14,13,168,718,4.27,12,51.3,,9,66,7.33,0,4.7,,
1237,Michael Pittman\PittMi00,2002,27,4-95,TAM,NFL,16,15,204,718,3.52,1,44.9,86,59,477,8.08,0,29.8,68.6%,5.55
1238,Mel Farr\FarrMe00,1970,26,1-7,DET,NFL,12,12,166,717,4.32,9,59.8,,29,213,7.34,2,17.8,,
1239,Fred Lane\LaneFr00,1998,23,,CAR,NFL,14,11,205,717,3.50,5,51.2,15,12,85,7.08,0,6.1,80.0%,5.67
1240,Mike Rozier\RoziMi00,1990,29,1-2,2TM,NFL,16,5,163,717,4.40,3,44.8,,13,105,8.08,0,6.6,,
1241,DeAngelo Williams\WillDe02,2007,24,1-27,CAR,NFL,16,0,144,717,4.98,4,44.8,38,23,175,7.61,1,10.9,60.5%,4.61
1242,Shaun Alexander\AlexSh00,2007,30,1-19,SEA,NFL,13,10,207,716,3.46,4,55.1,25,14,76,5.43,1,5.8,56.0%,3.04
1243,Chris Ivory\IvorCh00,2010,22,,NOR,NFL,12,4,137,716,5.23,5,59.7,1,1,17,17.00,0,1.4,100.0%,17.00
1244,George Wonsley\WonsGe00,1985,25,4-103,IND,NFL,16,9,138,716,5.19,6,44.8,,30,257,8.57,0,16.1,,
1245,Napoleon Kaufman\KaufNa00,1999,26,1-18,OAK,NFL,16,5,138,714,5.17,2,44.6,25,18,181,10.06,1,11.3,72.0%,7.24
1246,Larry Kinnebrew\KinnLa00,1985,26,6-165,CIN,NFL,12,11,170,714,4.20,9,59.5,,22,187,8.50,1,15.6,,
1247,Alvin Maxson\MaxsAl00,1974,23,8-201,NOR,NFL,14,13,165,714,4.33,2,51.0,,42,294,7.00,1,21.0,,
1248,John Riggins*\RiggJo00,1981,32,1-6,WAS,NFL,15,4,195,714,3.66,13,47.6,,6,59,9.83,0,3.9,,
1249,Chester Taylor\TaylCh01,2004,25,6-207,BAL,NFL,16,4,160,714,4.46,2,44.6,38,30,184,6.13,0,11.5,78.9%,4.84
1250,Tom Tracy\TracTo00,1958,24,5-50,PIT,NFL,12,8,169,714,4.22,5,59.5,,32,535,16.72,4,44.6,,
1251,John Williams\WillJo00,1990,26,1-15,SEA,NFL,16,16,187,714,3.82,3,44.6,,73,699,9.58,0,43.7,,
1252,Sammy Winder\WindSa00,1985,26,5-131,DEN,NFL,14,12,199,714,3.59,8,51.0,,31,197,6.35,0,14.1,,
1253,Leonard Russell\RussLe00,1996,27,1-14,SDG,NFL,15,15,219,713,3.26,7,47.5,18,13,180,13.85,0,12.0,72.2%,10.00
1254,Gus Edwards\EdwaGu00,2019,24,,BAL,NFL,16,1,133,711,5.35,2,44.4,7,7,45,6.43,0,2.8,100.0%,6.43
1255,Barry Foster\FostBa00,1993,25,5-128,PIT,NFL,9,9,177,711,4.02,8,79.0,34,27,217,8.04,1,24.1,79.4%,6.38
1256,Andra Franklin\FranAn00,1981,22,2-56,MIA,NFL,16,11,201,711,3.54,7,44.4,,3,6,2.00,1,0.4,,
1257,Roosevelt Potts\PottRo00,1993,22,2-49,IND,NFL,16,15,179,711,3.97,0,44.4,34,26,189,7.27,0,11.8,76.5%,5.56
1258,Ernie Green\GreeEr01,1967,29,14-196,CLE,NFL,13,12,145,710,4.90,4,54.6,,39,369,9.46,2,28.4,,
1259,Marcus Allen*\AlleMa00,1994,34,1-10,KAN,NFL,13,13,189,709,3.75,7,54.5,60,42,349,8.31,0,26.8,70.0%,5.82
1260,Lamar Miller\MillLa01,2013,22,4-97,MIA,NFL,16,15,177,709,4.01,2,44.3,35,26,170,6.54,0,10.6,74.3%,4.86
1261,Tony Galbreath\GalbTo00,1979,25,2-32,NOR,NFL,15,15,189,708,3.75,9,47.2,,58,484,8.34,1,32.3,,
1262,Wilbur Jackson\JackWi01,1980,29,1-9,WAS,NFL,16,14,176,708,4.02,3,44.3,,27,279,10.33,1,17.4,,
1263,Ed Podolak\PodoEd00,1971,24,2-48,KAN,NFL,13,11,184,708,3.85,9,54.5,,36,252,7.00,0,19.4,,
1264,Rickey Young\YounRi00,1979,26,7-164,MIN,NFL,16,16,188,708,3.77,3,44.3,,72,519,7.21,4,32.4,,
1265,Bubba Bean\BeanBu00,1978,24,1-9,ATL,NFL,15,15,193,707,3.66,3,47.1,,31,209,6.74,1,13.9,,
1266,Willie Galimore\GaliWi00,1961,26,5-58,CHI,NFL,14,12,153,707,4.62,4,50.5,,33,502,15.21,3,35.9,,
1267,Steven Jackson\JackSt00,2014,31,1-24,ATL,NFL,15,15,190,707,3.72,6,47.1,27,20,148,7.40,0,9.9,74.1%,5.48
1268,Ryan Mathews\MathRy00,2012,25,1-12,SDG,NFL,12,9,184,707,3.84,1,58.9,56,39,252,6.46,0,21.0,69.6%,4.50
1269,Darren McFadden\McFaDa00,2012,25,1-4,OAK,NFL,12,12,216,707,3.27,2,58.9,63,42,258,6.14,1,21.5,66.7%,4.10
1270,Isaiah Crowell\CrowIs00,2015,22,,CLE,NFL,16,9,185,706,3.82,4,44.1,22,19,182,9.58,1,11.4,86.4%,8.27
1271,Joe Dawkins\DawkJo00,1973,25,10-249,DEN,NFL,14,14,160,706,4.41,2,50.4,,30,329,10.97,0,23.5,,
1272,Derek Brown\BrowDe01,1993,22,4-109,NOR,NFL,13,12,180,705,3.92,2,54.2,32,21,170,8.10,1,13.1,65.6%,5.31
1273,Merril Hoge\HogeMe00,1988,23,10-261,PIT,NFL,16,8,170,705,4.15,3,44.1,,50,487,9.74,3,30.4,,
1274,Wilbur Jackson\JackWi01,1974,23,1-9,SFO,NFL,14,13,174,705,4.05,0,50.4,,23,190,8.26,2,13.6,,
1275,Randy McMillan\McMiRa00,1984,26,1-12,IND,NFL,16,16,163,705,4.33,5,44.1,,19,201,10.58,0,12.6,,
1276,Jim Taylor*\TaylJi00,1966,31,2-15,GNB,NFL,14,14,204,705,3.46,4,50.4,,41,331,8.07,2,23.6,,
1277,Robert Kelley\KellRo00,2016,24,,WAS,NFL,15,9,168,704,4.19,6,46.9,18,12,82,6.83,1,5.5,66.7%,4.56
1278,Ernie Koy\KoyxEr00,1967,25,11-141 3-18AFL,NYG,NFL,14,11,146,704,4.82,4,50.3,,32,212,6.63,1,15.1,,
1279,James Wilder\WildJa00,1986,28,2-34,TAM,NFL,12,12,190,704,3.71,2,58.7,,43,326,7.58,1,27.2,,
1280,LeGarrette Blount\BlouLe00,2015,29,,NWE,NFL,12,6,165,703,4.26,6,58.6,7,6,43,7.17,1,3.6,85.7%,6.14
1281,Marion Butts\ButtMa00,1994,28,7-183,NWE,NFL,16,15,243,703,2.89,8,43.9,14,9,54,6.00,0,3.4,64.3%,3.86
1282,Tony Dorsett*\DorsTo00,1988,34,1-2,DEN,NFL,16,13,181,703,3.88,5,43.9,,16,122,7.63,0,7.6,,
1283,Brandon Jackson\JackBr00,2010,25,2-63,GNB,NFL,16,13,190,703,3.70,3,43.9,50,43,342,7.95,1,21.4,86.0%,6.84
1284,Delvin Williams\WillDe01,1979,28,2-49,MIA,NFL,14,13,184,703,3.82,3,50.2,,21,175,8.33,1,12.5,,
1285,Charles Alexander\AlexCh00,1980,23,1-12,CIN,NFL,16,16,169,702,4.15,2,43.9,,36,192,5.33,0,12.0,,
1286,Johnny Hector\HectJo00,1989,29,2-51,NYJ,NFL,15,9,177,702,3.97,3,46.8,,38,330,8.68,2,22.0,,
1287,Kevin Mack\MackKe00,1990,28,1-11,CLE,NFL,14,14,158,702,4.44,5,50.1,,42,360,8.57,2,25.7,,
1288,DeMarco Murray\MurrDe00,2015,27,3-71,PHI,NFL,15,8,193,702,3.64,6,46.8,55,44,322,7.32,1,21.5,80.0%,5.85
1289,Lorenzo White\WhitLo00,1990,24,1-22,HOU,NFL,16,16,168,702,4.18,8,43.9,,39,368,9.44,4,23.0,,
1290,Joe Childress\ChilJo00,1963,30,1-7,STL,NFL,14,14,174,701,4.03,2,50.1,,25,354,14.16,2,25.3,,
1291,Terrell Davis*\DaviTe00,2001,29,6-196,DEN,NFL,8,8,167,701,4.20,0,87.6,21,12,69,5.75,0,8.6,57.1%,3.29
1292,Andra Franklin\FranAn00,1982,23,2-56,MIA,NFL,9,9,177,701,3.96,7,77.9,,3,9,3.00,0,1.0,,
1293,Terry Allen\AlleTe00,1998,30,9-241,WAS,NFL,10,10,148,700,4.73,2,70.0,22,17,128,7.53,0,12.8,77.3%,5.82
1294,Rick Casares\CasaRi00,1957,26,2-18,CHI,NFL,12,12,204,700,3.43,6,58.3,,25,225,9.00,0,18.8,,
1295,Billy Taylor\TaylBi00,1979,23,4-90,NYG,NFL,16,9,198,700,3.54,7,43.8,,28,253,9.04,4,15.8,,
1296,Bill Brown\BrowBi00,1965,27,2-20 6-45AFL,MIN,NFL,14,12,160,699,4.37,6,49.9,,41,503,12.27,1,35.9,,
1297,Rick Casares\CasaRi00,1959,28,2-18,CHI,NFL,12,12,177,699,3.95,10,58.3,,27,273,10.11,2,22.8,,
1298,Andy Johnson\JohnAn01,1976,24,5-112,NWE,NFL,14,13,169,699,4.14,6,49.9,,29,343,11.83,4,24.5,,
1299,Brad Baxter\BaxtBr00,1992,25,11-303,NYJ,NFL,15,15,152,698,4.59,6,46.5,10,4,32,8.00,0,2.1,40.0%,3.20
1300,Alfred Blue\BlueAl00,2015,24,6-181,HOU,NFL,15,9,183,698,3.81,2,46.5,16,15,109,7.27,1,7.3,93.8%,6.81
1301,Franco Harris*\HarrFr00,1973,23,1-13,PIT,NFL,12,8,188,698,3.71,3,58.2,,10,69,6.90,0,5.8,,
1302,Darick Holmes\HolmDa00,1995,24,7-244,BUF,NFL,16,2,172,698,4.06,4,43.6,34,24,214,8.92,0,13.4,70.6%,6.29
1303,Bo Jackson\JackBo00,1990,28,1-1,RAI,NFL,10,0,125,698,5.58,5,69.8,,6,68,11.33,0,6.8,,
1304,Julius Jones\JoneJu01,2008,27,2-43,SEA,NFL,15,10,158,698,4.42,2,46.5,25,14,66,4.71,0,4.4,56.0%,2.64
1305,Charles Way\WayxCh00,1997,25,6-206,NYG,NFL,16,16,151,698,4.62,4,43.6,51,37,304,8.22,1,19.0,72.5%,5.96
1306,Marcus Allen*\AlleMa00,1982,22,1-10,RAI,NFL,9,9,160,697,4.36,11,77.4,,38,401,10.55,3,44.6,,
1307,Abner Haynes\HaynAb00,1964,27,5-55,KAN,AFL,14,,139,697,5.01,4,49.8,,38,562,14.79,3,40.1,,
1308,Bilal Powell\PoweBi00,2013,25,4-126,NYJ,NFL,16,11,176,697,3.96,1,43.6,57,36,272,7.56,0,17.0,63.2%,4.77
1309,Tony Richardson\RichTo00,2000,29,,KAN,NFL,16,16,147,697,4.74,3,43.6,75,58,468,8.07,3,29.3,77.3%,6.24
1310,O.J. Simpson*\SimpO.00,1969,22,1-1,BUF,AFL,13,13,181,697,3.85,2,53.6,,30,343,11.43,3,26.4,,
1311,Dexter Bussey\BussDe00,1975,23,3-65,DET,NFL,13,13,157,696,4.43,2,53.5,,14,175,12.50,2,13.5,,
